YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
2023,40,64939,430,285,1.10103,0.66216,0.438873
2023,41,65514,594,290,1.34933,0.906676,0.442653
2023,42,66801,693,318,1.51345,1.03741,0.476041
2023,43,69229,862,393,1.81282,1.24514,0.567681
2023,44,77193,1456,566,2.61941,1.88618,0.733227
2023,45,92301,2582,1072,3.95879,2.79737,1.16142
2023,46,100657,3647,1250,4.86504,3.6232,1.24184
2023,47,95965,4334,1347,5.91987,4.51623,1.40364
2023,48,118752,6571,1705,6.96915,5.53338,1.43577
2023,49,126299,10169,2207,9.79897,8.05153,1.74744
2023,50,138909,15256,3340,13.3872,10.9827,2.40445
2023,51,155722,22285,4688,17.3213,14.3108,3.01049
2023,52,153922,22917,5035,18.1605,14.8887,3.27114
2024,1,137969,15374,3666,13.8031,11.1431,2.65712
2024,2,130403,14376,3706,13.867,11.0243,2.84196
2024,3,116068,13213,4084,14.9059,11.3838,3.51863
2024,4,120481,14151,5283,16.1303,11.7454,4.38492
2024,5,123949,13525,6687,16.3067,10.9117,5.39496
2024,6,124097,12145,7526,15.8521,9.7867,6.06461
2024,7,120149,11042,7662,15.5673,9.19026,6.37708
2024,8,118107,10143,8185,15.5181,8.58798,6.93016
2024,9,109663,8944,7447,14.9467,8.1559,6.7908
2024,10,103198,7780,6901,14.2261,7.53891,6.68715
2024,11,97623,5798,5840,11.9214,5.93917,5.9822
2024,12,90497,4766,4612,10.3628,5.26647,5.0963
2024,13,86150,4001,3884,9.15264,4.64423,4.50842
2024,14,81186,3211,2918,7.54933,3.95512,3.59422
2024,15,77347,2366,2123,5.80372,3.05894,2.74477
2024,16,71241,1856,1548,4.77815,2.60524,2.17291
2024,17,69654,1490,1169,3.81744,2.13914,1.6783
2024,18,59478,1100,815,3.21968,1.84942,1.37025
2024,19,53386,807,451,2.35642,1.51163,0.844791
2024,20,51355,594,353,1.84403,1.15665,0.687372
2024,21,49730,535,288,1.65494,1.07581,0.579127
2024,22,44610,562,182,1.66779,1.25981,0.40798
2024,23,43789,503,145,1.47982,1.14869,0.331133
2024,24,41945,425,113,1.28263,1.01323,0.2694
2024,25,39787,341,76,1.04808,0.857064,0.191017
2024,26,37950,294,44,0.890646,0.774704,0.115942
2024,27,37784,336,33,0.976604,0.889265,0.0873386
2024,28,41312,304,39,0.830267,0.735864,0.0944036
2024,29,41224,254,31,0.691345,0.616146,0.0751989
2024,30,43901,236,27,0.599075,0.537573,0.061502
2024,31,44751,213,37,0.558647,0.475967,0.0826797
2024,32,45491,197,27,0.492405,0.433053,0.0593524
2024,33,49486,197,27,0.452653,0.398092,0.0545609
2024,34,51719,177,29,0.398306,0.342234,0.0560722
2024,35,55703,199,33,0.416495,0.357252,0.0592428
2024,36,42081,154,25,0.42537,0.365961,0.0594092
